CustomerID,LastDate,Recency,Frequency,Monetary,Cluster
12346.0,2011-01-18,325,12,77556.46,1
12347.0,2011-12-07,2,8,5633.3199999999915,1
12348.0,2011-09-25,75,5,2019.4,1
12349.0,2011-11-21,18,4,4428.690000000002,1
12350.0,2011-02-02,310,1,334.40000000000003,0
12351.0,2010-11-29,375,1,300.93,0
12352.0,2011-11-03,36,10,2849.8400000000015,1
12353.0,2011-05-19,204,2,406.75999999999993,1
12354.0,2011-04-21,232,1,1079.4,1
12355.0,2011-05-09,214,2,947.61,1
12356.0,2011-11-17,22,6,6373.679999999995,1
12357.0,2011-11-06,33,3,18287.659999999993,1
12358.0,2011-12-08,1,5,3887.070000000003,1
12359.0,2011-10-13,57,10,8935.939999999993,1
12360.0,2011-10-18,52,8,4252.89,1
12361.0,2011-02-25,287,4,511.24999999999994,0
12362.0,2011-12-06,3,11,5356.230000000002,1
12363.0,2011-08-22,109,2,552.0,1
12364.0,2011-12-02,7,4,1313.1000000000001,1
12365.0,2011-02-21,291,2,641.38,0
12366.0,2010-03-16,633,1,500.24,0
12367.0,2011-12-05,4,1,168.9,1
12368.0,2010-03-21,628,1,917.6999999999999,0
12369.0,2010-10-22,413,3,1791.15,0
12370.0,2011-10-19,51,7,4320.309999999998,1
12371.0,2011-10-26,44,5,4067.3799999999983,1
12372.0,2011-09-29,71,3,1298.0400000000002,1
12373.0,2011-02-01,311,3,1127.65,0
12374.0,2011-11-14,25,4,2989.2200000000007,1
12375.0,2011-11-29,10,2,457.5000000000001,1
12376.0,2010-11-15,389,2,503.15,0
12377.0,2011-01-28,315,4,3426.319999999998,0
12378.0,2011-08-02,129,2,5416.32,1
12379.0,2011-09-19,81,4,1620.22,1
12380.0,2011-11-18,21,11,9676.300000000001,1
12381.0,2011-12-05,4,5,1845.3100000000006,1
12383.0,2011-06-08,184,5,1850.5599999999997,1
12384.0,2011-11-11,28,2,585.2700000000001,1
12385.0,2010-11-25,379,1,1938.3999999999999,0
12386.0,2011-01-06,337,2,660.8,0
12387.0,2010-10-20,415,1,143.94,0
12388.0,2011-11-24,15,8,3901.110000000001,1
12389.0,2010-11-02,402,3,1433.33,0
12390.0,2011-09-21,79,1,549.8399999999999,1
12391.0,2011-11-18,21,6,2773.419999999994,1
12392.0,2010-04-27,591,1,234.75000000000003,0
12393.0,2011-09-28,72,6,2399.45,1
12394.0,2011-10-07,63,2,1272.48,1
12395.0,2011-11-20,19,15,5067.269999999997,1
12396.0,2010-02-03,674,1,931.4300000000006,0
12397.0,2011-11-04,35,2,2409.9000000000005,1
12398.0,2011-10-25,45,1,1635.6599999999999,1
12399.0,2011-08-12,119,7,1962.3000000000013,1
12400.0,2010-10-21,414,1,205.25,0
12401.0,2011-02-09,303,1,84.3,0
12402.0,2011-01-20,323,6,1256.9000000000003,0
12403.0,2011-10-21,49,2,1019.36,1
12404.0,2010-01-26,682,1,63.24,0
12405.0,2011-07-14,148,1,1710.3900000000006,1
